"";"Row";"z.value";"posterior";"local.fdr"
"ENSG00000168490";9187;-11,045792530418;1;0
"ENSG00000106714";2986;-11,0433145016763;1;0
"ENSG00000157150";12549;-11,0420651019265;1;0
"ENSG00000135424";6314;-11,0384956144031;1;0
"ENSG00000165186";9897;-11,0366717631856;1;0
"ENSG00000154734";232;-11,0279691881603;1;0
"ENSG00000121904";3226;11,0222605270829;1;0
"ENSG00000139144";9229;-11,0039208714426;1;0
"ENSG00000101955";11944;-10,9846643542005;1;0
"ENSG00000180660";7242;-10,9714645762048;1;0
"ENSG00000135437";10321;-10,963311483238;1;0
"ENSG00000081377";2518;-10,9339249711018;1;0
"ENSG00000131944";1619;10,9306156244296;1;0
"ENSG00000164879";2069;-10,9291965231926;1;0
"ENSG00000132329";10160;10,9161003187351;1;0
"ENSG00000148180";5536;-10,9152667357499;1;0
"ENSG00000150347";788;-10,9143659767785;1;0
"ENSG00000167614";13226;-10,9051875200091;1;0
"ENSG00000154065";557;-10,903342252961;1;0
"ENSG00000029993";5817;10,9008657598565;1;0
"ENSG00000139597";8053;-10,8812670050509;1;0
"ENSG00000265972";13281;-10,8701804325713;1;0
"ENSG00000132170";9556;-10,8668361224568;1;0
"ENSG00000177363";7159;-10,8523651784943;1;0
"ENSG00000185432";7555;-10,852043866386;1;0
"ENSG00000102385";3854;10,8457769622675;1;0
"ENSG00000015413";3822;10,8436332519962;1;0
"ENSG00000164849";5401;-10,8431201787627;1;0
"ENSG00000189134";8354;-10,8385668362472;1;0
"ENSG00000137463";1884;-10,8258992073007;1;0
"ENSG00000133687";12827;-10,8057855569241;1;0
"ENSG00000184113";2864;-10,8053029089356;1;0
"ENSG00000240038";507;-10,7963454106342;1;0
"ENSG00000135917";11369;-10,7944348720753;1;0
"ENSG00000136960";4192;-10,7901713025093;1;0
"ENSG00000163827";7113;-10,7863493151527;1;0
"ENSG00000186847";6780;-10,7821252361625;1;0
"ENSG00000276409";2368;-10,7726937753317;1;0
"ENSG00000163888";2128;10,7614103244601;1;0
"ENSG00000189221";7301;-10,7502455432981;1;0
"ENSG00000068489";9784;10,7484436883114;1;0
"ENSG00000157766";122;10,7454805243887;1;0
"ENSG00000151651";223;10,7389100411559;1;0
"ENSG00000079435";6972;-10,7387973035358;1;0
"ENSG00000158458";8507;-10,7243394753569;1;0
"ENSG00000147862";8291;-10,724026843927;1;0
"ENSG00000008311";35;-10,7178364407473;1;0
"ENSG00000046653";5378;-10,7107079212856;1;0
